sku_id,product_name,description,category_id,length_cm,width_cm,height_cm,weight_kg,upc_code,brand,manufacturer,model_number,is_active,is_hazardous,requires_refrigeration
SKU-9261CB93,GlobalTech Bluetooth Speaker F128,High-quality globaltech bluetooth speaker f128 from GlobalTech. Model F128.,CAT-ELEC-AUDIO,47.9,33.5,20.6,1.23,936823535825,GlobalTech,GlobalTech,F128,True,False,False
SKU-96C0BF3B,NaturalWay Probiotic 30B CFU Y470,High-quality naturalway probiotic 30b cfu y470 from NaturalWay. Model Y470.,CAT-HEALTH-VIT,36.5,39.1,18.3,0.2,004067492487,NaturalWay,NaturalWay,Y470,True,False,False
SKU-A4AD0847,ValueBrand Monitor Stand K445,High-quality valuebrand monitor stand k445 from ValueBrand. Model K445.,CAT-ELEC-COMP,44.1,23.2,27.0,2.76,580678172788,ValueBrand,ValueBrand,K445,True,False,False
SKU-998C1A21,VitaPlus Wireless Mouse T330,High-quality vitaplus wireless mouse t330 from VitaPlus. Model T330.,CAT-ELEC-COMP,34.0,7.7,15.7,0.14,562755836576,VitaPlus,VitaPlus,T330,True,False,False
SKU-798CAD8A,EcoGreen Non-Stick Pan Set T281,High-quality ecogreen non-stick pan set t281 from EcoGreen. Model T281.,CAT-HOME-COOK,14.4,19.4,20.2,3.38,991673739399,EcoGreen,EcoGreen,T281,True,False,False
SKU-ED15B3F3,HomeStyle Notebook Set 5-Pack U856,High-quality homestyle notebook set 5-pack u856 from HomeStyle. Model U856.,CAT-OFFICE,18.1,10.9,3.8,0.9,934320351851,HomeStyle,HomeStyle,U856,True,False,False
SKU-9CAC93E6,GlobalTech Soundbar System G266,High-quality globaltech soundbar system g266 from GlobalTech. Model G266.,CAT-ELEC-AUDIO,39.5,39.9,9.6,3.32,873232753000,GlobalTech,GlobalTech,G266,True,False,False
SKU-20C4D86F,SmartLife Wireless Charger A422,High-quality smartlife wireless charger a422 from SmartLife. Model A422.,CAT-ELEC-MOBILE,25.8,26.8,6.7,0.2,683420168391,SmartLife,SmartLife,A422,True,False,False
SKU-33205DDC,ProSeries Storage Bins 6-Pack U664,High-quality proseries storage bins 6-pack u664 from ProSeries. Model U664.,CAT-HOME-STORAGE,30.8,13.7,18.3,2.59,746752711443,ProSeries,ProSeries,U664,True,False,False
SKU-BCC0812C,OfficeMaster Bluetooth Speaker A472,High-quality officemaster bluetooth speaker a472 from OfficeMaster. Model A472.,CAT-ELEC-AUDIO,15.5,23.9,24.9,1.07,844066035989,OfficeMaster,OfficeMaster,A472,True,False,False
SKU-C9F2F8A3,EliteChoice Monitor Stand Y193,High-quality elitechoice monitor stand y193 from EliteChoice. Model Y193.,CAT-ELEC-COMP,28.4,32.4,3.7,2.78,225740066413,EliteChoice,EliteChoice,Y193,True,False,False
SKU-67F17DC1,SmartLife Webcam HD P496,High-quality smartlife webcam hd p496 from SmartLife. Model P496.,CAT-ELEC-COMP,38.5,9.2,22.7,0.25,126443794909,SmartLife,SmartLife,P496,True,False,False
SKU-B723BDDD,EcoGreen Closet Organizer H536,High-quality ecogreen closet organizer h536 from EcoGreen. Model H536.,CAT-HOME-STORAGE,25.8,31.4,12.6,3.34,670262317050,EcoGreen,EcoGreen,H536,True,False,False
SKU-ADE01CB6,AudioMax Notebook Set 5-Pack W468,High-quality audiomax notebook set 5-pack w468 from AudioMax. Model W468.,CAT-OFFICE,5.8,32.9,22.8,0.81,720945503410,AudioMax,AudioMax,W468,True,False,False
SKU-8A4C3075,OfficeMaster Power Bank 20000mAh D854,High-quality officemaster power bank 20000mah d854 from OfficeMaster. Model D854.,CAT-ELEC-MOBILE,38.7,32.9,2.7,0.4,396031198961,OfficeMaster,OfficeMaster,D854,True,False,False
SKU-3A6F3FB5,PremiumChoice Mechanical Keyboard R954,High-quality premiumchoice mechanical keyboard r954 from PremiumChoice. Model R954.,CAT-ELEC-COMP,48.4,36.5,5.5,1.11,472362877584,PremiumChoice,PremiumChoice,R954,True,False,False
SKU-83284DA0,ModernHome Closet Organizer V720,High-quality modernhome closet organizer v720 from ModernHome. Model V720.,CAT-HOME-STORAGE,15.0,13.7,20.0,3.27,851263495127,ModernHome,ModernHome,V720,True,False,False
SKU-3DBFD2E7,ProSeries Whiteboard 24x36 B244,High-quality proseries whiteboard 24x36 b244 from ProSeries. Model B244.,CAT-OFFICE,11.8,9.6,17.1,4.92,936014858176,ProSeries,ProSeries,B244,True,False,False
